Titolo,id_ristorante,Data,Target,Recensioni,Punteggio,Foto1,Foto2,user_id
Paradise,g1015453-d10262840,15 febbraio 2018,family,"Vorrei, come prima cosa elogiare l'ottima signorilita, gentilezza e generosità con cui ci ha accolti il proprietario del bellissimo e caratteristico nido d'amore..... Si...veramente un ottimo ristorante in cui siamo stati cullati, sia dall'ottima ed elegantissima responsabile di sala che dalla meravigliosa genuinità culinaria. Tutto cibo rigorosamente fresco e di ottimi pregio e alta qualità. Antipasti originalissimi, risotto mai mangiato fino a ieri sera....paradisiaco. Frittura mista e dessert, naturalmente all'altezza della qualità del cibo sopraindicato. Ci tornerò, anche senza sconto, merita perché i prezzi non sono nemmeno molto alti. Atmosfera sublime, per qualsiasi evenienza. Grazie","Punteggio 5,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/12/11/46/1b/img-20180216-wa0001-largejpg.jpg,,78
Passeggiando,g10105276-d3261896,13 novembre 2022,couples,"Era una bellissima giornata, e abbiamo deciso di fermarci in questo ristorante con una bellissima vista sul lago. Mangiato molto bene, e servizio ottimo. Da consigliare.","Punteggio 5,0 su 5",,,5
passeggiata serale,g1005935-d3491825,5 febbraio 2021,none,tanti gusti per un gelato nella media devo dire che i gusti alle creme sono buoni se di passaggio merita una visita ma attenti alle lunghe file,"Punteggio 4,0 su 5",,,2056
Passeggiate sull'argine.,g1010309-d2088009,17 ottobre 2023,friends,"Accoglienza professionale, piatti della tradizione preparati con maestria e cura.Presentati in modo ottimo.Accompagnati da un lambrusco locale perfetto.
Bellissima sorpresa.","Punteggio 5,0 su 5",,,279
Pasta alla catanese,g1007324-d1774052,4 marzo 2024,family,Ho pranzato presso questa rinomata trattoria e non posso che confermare le recensioni positive . Spero solo di tornarci il prima possibile,"Punteggio 5,0 su 5",,,1856
Pausa pranzo settimanale perfetta,g1006068-d14994590,30 maggio 2023,none,"Oltre ad esserci tornata nel weekend, ho deciso di provare questo ristorante anche per la formula del lunch settimanale e devo dire che è davvero vincente.
Si possono scegliere due piatti tra antipasti, primi, secondi e dolci, acqua. un calice di vino, caffè al prezzo di 20/25€.
La location sempre molto piacevole, luminosa ed accogliente così come il servizio sempre attento ma mai invadente.
Per i vini, cocktail, amari i consigli di Valerio sono sempre molto preziosi!
Per me posto consigliatissimo!","Punteggio 5,0 su 5",,,1251
Peccato per il conto!,g1015997-d1215655,25 giugno 2023,couples,"Abbiamo mangiato a pranzo non nella sala ma su dei tavolini all'ingresso, senza quindi una vera apparecchiatura.  Serviti molto bene da un cameriere sempre sorridente ma poi per aver mangiato ""cuori di baccalà"", 2 tortini di verdure ed 1 fritto misto di pesce, con 2 calici di buon vino, 92 euro di conto. Insomma....Ci è sembrato un tantino esagerato! Menomale che non abbiamo preso pure il dessert!!!! Qualità del cibo ottima. Fate voi.","Punteggio 2,0 su 5",,,902
Peggiorato negli anni,g1015453-d2192624,11 agosto 2023,family,"Sono tornato a gustare la pizza in questo locale dopo diversi anni, e a malincuore devo dire che la qualità (soprattutto dell'impasto) è peggiorata di molto. 
Per di più i prezzi, già non tra i piu bassi della zona, sono lievitati di molto. 
Mi spiace ma lo sconsiglio. 
Unica nota positiva la signora che ci ha servito, gentilissima.","Punteggio 2,0 su 5",,,499
Pensavamo meglio,g1015346-d2208298,31 agosto 2023,family,"Siamo venuto in questa struttura balnearea con pizzeria e ristorazione la sera su consiglio di amici. Location nulla da dire molto suggestiva, ma per quanto riguarda  il ristorante...molto caos, molta confusione, insomma sicuramente non un ambiente rilassante. Personale non all'altezza della situazione","Punteggio 3,0 su 5",,,2480
Pensavo meglio,g1009327-d1457587,24 agosto 2023,family,"Conoscevo il posto per il ‘nome’, ma sono rimasta delusa; servizio disorganizzato, abbiamo ordinato sei pizze e ne hanno dimenticata una, arrivat, dopo nostra richiesta, quando tutti gli altri avevano finito; la pizza non male ma non eccezionale come alcuni dicono. C’è di meglio","Punteggio 2,0 su 5",,,146
Per Carità,g1007733-d1869627,2 aprile 2024,family,Pranzo di Pasquetta alla carta...PESSIMO. Antipasto con  2 codette di polpo abbrustolite e altre cosette!! Spaghetti frutti di mare probabilmente RISCALDATI con due vongole..due cozze e due code di gambero a pezzi. Non dico altro. Bellissimo posto sul mare ma tutto il resto....,"Punteggio 1,0 su 5",,,16
per caso ad Acitrezza,g1007324-d2264584,2 gennaio 2023,none,"Ci trovavamo per caso ad Acitrezza il primo giorno dell'anno quando ci siamo accorti di quella terrazzina vista faraglioni, ( vale solo quella il prezzo del biglietto) 
il locale è discreto ma e solo apparenza abbiamo mangiato molto bene pesce cucinato benissimo rapporto  qualita prezzo ottima (solo 25 euro a testa) da rifare consigliatissimo.","Punteggio 5,0 su 5",,,2437
Per caso cucina casalinga ottima,g1005935-d3645781,29 ottobre 2023,family,Ieri sera siamo stati con il mio compagno cognati e nopote on questo postocino abbiamo preso antipasto x quattro persone ma noi eravamo 5 e vo assicuraro è bastato cmq l'antipasto composto da salumi formaggi marmellata di cipolla bruschetta pomodoro polpette al sugo verdure psstellate e fagioli con cotiche....tt ottimo tipica cucina casaraccia poi abbiamo preso 5 primi gnocchi con spuntature  2 cacio e pepe alla mentuccia una carbonara e rigatini con il sugo di coda dolci tutti ottimi consigliatissimo 😃,"Punteggio 5,0 su 5",,,2608
Per me è ok,g1006068-d10478608,12 ottobre 2022,family,"Ristorante di ispirazione spagnola, con abbondanti tapas, come tipo e quantità, ed una ottima paella, davvero gustosa.
La location è molto carina.
Non c'è una proposta di vini eccezionale, ma come tipo di locale ci sta.
Quando siamo stati noi c era una tavolata di 15 persone che obiettivamente faceva parecchio rumore, unica nota stonata.
Rapporto qualità prezzo più che buono","Punteggio 4,0 su 5",,,2168
Perdersi nei boschi,g1009281-d1898914,27 aprile 2024,couples,"Sono stata con il mio compagno a cena,trovato per caso ma che scoperta! Cibo spaziale,personale simpatico e il locale incantevole. Le pietanze cucinate con amore e un sapore incredibile. Tutto ottimo.","Punteggio 5,0 su 5",,,1487
Perfetta,g1007324-d10378080,10 luglio 2023,family,"Ottima cucina tipica siciliana a prezzi modici, rapporto qualità prezzo unico,chef super disponibile e staff eccezionale","Punteggio 5,0 su 5",,,2504
Perfetta,g1015351-d4437162,19 maggio 2024,couples,"Eccellente il cibo, un crudo di pesce eccezionale
Servizio ottimo.. Una piacevole sorpresa.
Il bis speriamo si farlo a breve.
Prezzo proporzionato alla qualità del cibo.","Punteggio 5,0 su 5",,,103
Perfetto,g1009327-d3976041,30 maggio 2023,family,"Ristorante perfetto, tutto molto buono, camerieri gentilissimi. Qualità - prezzo giustissimi. Ti senti a casa. Consiglio vivamente!","Punteggio 4,0 su 5",,,1624
Perfetto e buono!,g1015351-d3484812,23 agosto 2020,couples,Gia attira per le sue piccole dimensioni rispetto ai ristorantifici di Calasetta Poi Sara l gestione tutta femminile ma si respirava aria rilassata e efficienza. Credo di aver mangiato la più buona pasta alla carlofortina con pesto tonno e pomodoro: spettacolare. E poi la catalana di gamberi è stata una fantastica scelta per la sua rivisitazione. Ottimo da tornarci,"Punteggio 5,0 su 5",,,1523
"Perfetto locale, ottima cena, eccellente servizio",g1007733-d2156620,30 marzo 2024,couples,"Accoglienza perfetta. Servizio eccellente.
Cibo buonissimo. Ottimo rapporto qualita' e prezzo. Menu' vasto. Ottima scelta di pesce e carne","Punteggio 5,0 su 5",,,2238
Perfetto!,g1006192-d8493990,24 giugno 2019,couples,"Un bar che nasconde un'ottima cucina, il menù è ricco di sorprese. Ottima la carne di cavallo, ideale per grandi e bambini. Servizi educato e gentile, locale molto bello e pulito.","Punteggio 5,0 su 5",,,1888
"Perfetto, continuate così!",g1007735-d6902852,8 agosto 2023,friends,"Un posto molto bello, curato nel dettaglio. Personale gentile, attento, cortese e professionale. I piatti sono buonissimi e bellissimi. Ci ritornerò","Punteggio 5,0 su 5",,,497
Personale gentilissimo,g1015351-d1900681,8 ottobre 2023,couples,"Location carina anni 70 mi pare, pulito, camerieri gentilissimi, buono il pesce, fregola e cous cous ottimi. Un po caro.","Punteggio 4,0 su 5",,,603
Personale scortese,g1015997-d1798779,10 agosto 2023,family,"Siamo andati a mangiare in questo posto, consigliato da amici. Ma purtroppo non ha esaudito le aspettative. Personale molto scortese e abbiamo trovato un pelo nelle pappardelle al ragù di cinghiale. Ci è stato detto che era un pelo dell'animale!!! Sbagliamo tutti ma bisogna avere l'umiltà di ammetterlo e cercare di rimediare.
Non consigliato. 
La gentilezza è alla base di tutto.","Punteggio 2,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/2a/01/3e/96/caption.jpg,,2004
Pesce  veramente fresco in assaggi da degustazione,g1006192-d850326,20 maggio 2024,family,"Ottima cucina di pesce veramente fresco . Tantissimi assaggi di pesce crudo e cotto che fanno parte della degustazione base , di solito ci si ferma per i mangioni si puo ordinare anche un primo e/o un secondo","Punteggio 5,0 su 5",,,565
"Pesce freschissimo, ambiente elegantemente familiare, la proprietaria Giada cortese e paziente.... torneremo sicuramente",g1006192-d850326,12 settembre 2023,family,"Pesce freschissimo, ambiente elegantemente familiare, la proprietaria Giada cortese e paziente.... il prossimo anno, in vacanza a Scoglitti, torneremo sicuramente a trovarla","Punteggio 5,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/2a/50/dc/f1/caption.jpg,,1781
"PESCE FRESCO E DI QUALITÀ, SERVIZIO OTTIMO!",g1006192-d3337386,5 agosto 2023,friends,"Abbiamo assaggiato la degustazione di pesce sia di crudi che cotti. 
Molto buono e ricercato.
Piatto preferito il tonno veramente fresco, insieme al salmone.
Consigliatissimo per un pranzo o una cena di coppia o tra amici.
Pesce molto fresco","Punteggio 5,0 su 5",,,285
Pesce gustoso,g1015351-d4437162,20 aprile 2024,couples,"Ottimo pranzo da ripetere assolutamente. Pesce cucinato molto bene e gustoso, buona atmosfera e servizio svelto e cortese. Si vede e si sente che sono dei professionisti!","Punteggio 5,0 su 5",,,1442
"Pesce nella norma, trattamento dei clienti da rivedere",g1006192-d3337386,9 agosto 2023,friends,"Degustazione di pesce fatta due anni fa e riproposta oggi è stata UGUALE, con le stesse portate e servite nello stesso ordine, ma con una sola differenza: abbiamo pagato molto di più rispetto l'esperienza passata. 

Trattamento dei clienti da rivedere. Non ci è stata data possibilità di scegliere qualcosa al di fuori del menù degustazione.

Pesce nella norma ma, se eccessivamente caro.","Punteggio 1,0 su 5",,,1777
Pesce ottimo,g1007324-d3161656,20 aprile 2024,friends,Locale piccolo per cui è necessaria la prenotazione. Piatti curati e ottimo pesce fresco. Un po' costosa ma ne vale la pena. Consigliato,"Punteggio 5,0 su 5",,,2127
"Pesce ottimo, conto salato.",g1007324-d3161656,29 aprile 2024,family,"Antipasto nella media, pasta davvero ottima e porzione molto abbondante, spigola freschissima e ben servita, ma prezzo esagerato per essere un’osteria.","Punteggio 4,0 su 5",,,2383
Pesce ronantico,g1007734-d12806132,21 agosto 2023,couples,"La location molto suggestiva, curata ed elegante fa da scenario ad una cucina ugualmente curata ed attenta, che unisce tradizione ed un pizzico di creatività. Frittura classica calamari e gamberi davvero ottima. Consigliato!","Punteggio 4,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/2a/1d/34/3a/caption.jpg,https://media-cdn.tripadvisor.com/media/photo-l/2a/1d/34/3b/caption.jpg,1660
Peso d’oro e qualità in calo,g1006192-d4132396,21 settembre 2019,friends,"Alla foto in questione è ciò che ho mangiato pagandolo ben 35€, si quello che vedete nel piatto più 4 cozze ben 35€, non vi dico il costo totale della cena.
Assurdo pensare che fino a poco tempo fa con la stessa spesa avrei mangiato chili di roba, e adesso solo 4 antipastini. La qualità è mediocre ma molto in calo rispetto a qualche tempo fa","Punteggio 1,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/19/57/ce/df/photo0jpg.jpg,,2634
Pessima esperienza,g1006191-d7806511,12 dicembre 2022,couples,"Servizio pessimo e quantità specialmente del secondo scarsissima,qualità del cibo nella media non tornerò mai più ..","Punteggio 1,0 su 5",,,76
Pessima esperienza,g1007733-d2156620,3 febbraio 2024,friends,siamo andati perché avevamo sentito che la pizza era buona. Ma è stata veramente una pessima pizza. Abbiamo preso la zuppetta di pizza. Ingredienti scadenti e senza sapore. Abbiamo avuto anche il dubbio che alcuni ingredienti fossero congelati. Mai più. Lo sconsiglio vivamente,"Punteggio 1,0 su 5",,,1416
Pessima esperienza,g1015997-d1911330,25 marzo 2024,couples,Quando si dice l apparenza inganna... locale bello e ben arredato ma non è pensabile aspettare un ora per essere serviti. Con una sala di 8/10 tavoli. Menù banale e  costoso per l offerta. Accoglienza davvero molto poco accogliente.,"Punteggio 1,0 su 5",,,983
Pessima esperienza ...,g1007734-d6591378,4 novembre 2021,family,"Pessima esperienza. Carne di bassissima qualità. Non vale la pena dilungarsi, la ristorazione o la braceria sono altra cosa.","Punteggio 1,0 su 5",,,1585
Pessima figura...per gli aperitivi,g1007733-d1869627,29 ottobre 2023,friends,... oggi ho fatto una pessima figura con le amiche per aver insistito per prendere un aperitivo all bar dello Scogliolungo dove avevo cenato benissimo altre volte sia con pizza che come ristorante sempre accompagnata dalla cortesia ed attenzione sia del titolare e che del personale...ma oggi dopo una lunga attesa e la richiesta di qualcosa con cui accompagnare le bevande PAGANDO...dato che non avevano portato niente... è arrivata una busta di patatine...chiusa...caso mai pensassimo fosse gratis. Non hanno capito che le persone preferiscono pagare ma avere un servizio e un prodotto valido.....pessima figura pessima esperienza servizio.. Avrei dato zero ma non è giusto penalizzare il ristorante. Spero cambino la politica degli aperitivi.,"Punteggio 3,0 su 5",,,1960
PESSIMA IDEA FERMARSI QUI,g1015997-d1798779,27 luglio 2023,family,"Servizio scortese: sembravano scocciata di servirci, tuttavia abbastanza celeri. Ci hanno lanciato lo scontrino. Impossibile mangiare: le vespe hanno continuato a ronzare su tutte le pietanze dall'antipasto al secondo . Abbiamo chiesto aiuto, hanno messo del prosciutto sul muro. Le vespe hanno continuato a ronzare. Pietanze scadenti, presentate male. Faraona senza sugo. Non si può pagare solo la vista: cibo, scortesia, disservizio contano. Non fatevi incantare dalla.posizione.","Punteggio 1,0 su 5",,,2153
Pessima prima esperienza,g1015453-d12453063,1 gennaio 2024,couples,"Un pessimo capodanno.....cucina da rivedere assolutamente,piatti insipidi , privi di sapore ,servizio lentissimo.... prezzo esagerato.","Punteggio 1,0 su 5",,,1895
Pessimi e maleducati,g1007324-d2093484,18 maggio 2024,couples,"Pessimo posto e pessimo personale. 
Abbiamo avuto un esperienza terribile e siamo sicuri che non ci torneremo mai più.  Siamo stati lì  oggi a pranzo e abbiamo ordinato due piatti di pasta e due calici di vino. Erano passati circa 7 minuti quando abbiamo avuto voglia di prendere anche l'antipasto, per cui chiamiamo il cameriere a cui chiediamo se è ancora possibile ordinare l'antipasto dato che probabilmente avevano già iniziato a preparare i primi. Il cameriere cordialmente dice che non c'è nessun problema e che ci fa arrivare l'antipasto prima. 
Qualche minuto dopo arrivano gli antipasti e la cameriera che li porta al tavolo fa qualche battuta relativamente alla scelta di ordinare dopo, dicendo che la pasta era già in preparazione. Noi non capiamo bene ciò che dice ma speriamo di aver capito male. Mentre mangiamo l'antipasto ( siamo ancora all'inizio) arriva il primo che viene poggiato nel tavolo in maniera quasi infastidita. Passa un altro cameriere esclamando "" quando l'aereo parte , parte non so può fermare. Così vale per la pasta"", battuta assolutamente non richiesta.  Iniziamo quindi a sbrigarci per mangiare, evitando che i primi si raffreddino. Il mio ragazzo si accorge che nel suo piatto ( paccheri gamberetti vongole e pistacchio ) mancavano i gamberetti e segnala l'accaduto.  La cameriera, urtata, prende il piatto e lo porta in cucina senza comunicarci nulla, tutto fatto in silenzio. Io nel frattempo mangio le mie linguine ai ricci ( pasta scotta e senza sale) per evitare che si raffreddi troppo, nell'attesa che i paccheri del mio compagno siano pronti.
Appena arrivano questi paccheri, io nel frattempo avevo già finito il mio piatto di linguine, il mio ragazzo si accorge che la pasta è totalmente cruda, apre tutti i paccheri per controllare che non si stava sbagliando. A questo punto chiediamo il conto, che alla fine ci viene fatto pagare levando solo la pasta coi paccheri.
Imbarazzante e forse anche troppo ambisiozo per come si presenta.","Punteggio 1,0 su 5",,,967
